Keyword,Description,Units,Data type,Example Value,Default,Required,Comments
CDEC1 ... CDEC#,Catalog declination for object in trace 1 to #,sexagesimal,String,"DD.mm.ss.sss",UNKNOWN,Y,"Can be expanded to multiple keywords indexed 1 to #"
CEQNX1 ... CEQNX#,Catalog equinox for object in trace 1 to #,yr,Float,2000,UNDEFINED,Y,"Can be expanded to multiple keywords indexed 1 to #"
CEPCH1 ... CEPCH#,Catalog epoch for object in trace 1 to #,yr,Float,2015.5,UNDEFINED,Y,"Can be expanded to multiple keywords indexed 1 to #"
CRV1 ... CRV#,Catalog Systemic RV for for object in trace 1 to #,km/s,Float,45.654,UNDEFINED,Y,"Can be expanded to multiple keywords indexed 1 to #"
CPLX1 ... CPLX#,Catalog parallax for object in trace 1 to #,mas,Float,20.45,,N,"Can be expanded to multiple keywords indexed 1 to #"
CPMR1 ... CPMR#,Catalog proper motion RA for object in trace 1 to #,arcsec/yr,Float,0.0345,,N,"Can be expanded to multiple keywords indexed 1 to #"
CPMD1 ... CPMD#,Catalog proper motion DEC for object in trace 1 to #,arcsec/yr,Float,0.345,,N,"Can be expanded to multiple keywords indexed 1 to #"
CZ1 ... CZ#,Catalog Z for for object in trace 1 to #,N/A,Float,0.00000454,,N,"Can be expanded to multiple keywords indexed 1 to #"
CCLRN1 ... CCLRN#,Catalog color 1 - color 2 name for object in trace 1 to #,N/A,String,"Gaia B-R",,N,"Can be expanded to multiple keywords indexed 1 to #"
CCLR1 ... CCLR#,Catalog color 1 - color 2 for object in trace 1 to #,mag,Float,0.47,,N,"Can be expanded to multiple keywords indexed 1 to #"
OBSERVAT,Observatory name,N/A,String,KPNO,UNKNOWN,Y,
TELESCOP,Telescope name,N/A,String,"ESO-VLT-U1234 WIYN or NEIDSOLARFEED",UNKNOWN,Y,"For solar observations - if solarfeed has its own name use that otherwise use an instrument + solarfeed type entry"
NUMTEL,Number of telescopes used in the observation,N/A,UInt,1,UNDEFINED,Y,
TELEID1 ... TELEID#,Labels for telescopes as indexed in TCS keywords,N/A,String,"ESO-VLT-U1",UNKNOWN,Y,		
GEOSYS,Coordinate system for observatory / telesccope location,N/A,String,"GRS80",UNKNOWN,Y,																																																					
OBSLON,Longitude used for barycentric correction,deg,Float,-111.600562,UNDEFINED,Y,Recommend 6 decimal places which is ~1m accuracy
OBSLAT,Latitude used for barycentric correction,deg,Float,31.958092,UNDEFINED,Y,Recommend 6 decimal places which is ~1m accuracy
OBSALT,Altitude used for barycentric correction,meters,Float,2091,UNDEFINED,Y,Recommend 6 decimal places which is ~1m accuracy
OBSGEO-X,Cartesian Coordinate X used for barycentric correction,meters,Float,5327395.964,,N,geocentric Cartesian triple incarnation of the traditional lat/lon/alt position on earth
OBSGEO-Y,Cartesian Coordinate Y used for barycentric correction,meters,Float,-1719170.488,,N,geocentric Cartesian triple incarnation of the traditional lat/lon/alt position on earth
OBSGEO-Z,Cartesian Coordinate Z used for barycentric correction,meters,Float,3051490.766,,N,geocentric Cartesian triple incarnation of the traditional lat/lon/alt position on earth
ISSOLAR,Boolean to indicate if observation is of the sun,N/A,Boolean,FALSE,UNKNOWN,Y,
SEEING,Seeing at beginning of exposure,arcsec,Float,1.2,,N,
AIRMASS,Airmass at center field at beginning of exposure,secZ,Float,1.3,,N,
TTIME,TCS-data date/time,UTC,String,"2018-04-26T15:53:13",,N,
TEQNX,TCS equinox,yr,String,"J2000",,N,
TEPCH,TCS epoch,yr,String,"J2000",,N,
TLST1 ... TLST#,TCS local sidereal time for telescope 1 to #,sexagesimal,String,"14:23:43",,N,"Can be expanded to multiple keywords indexed 1 to #"
TRA1 ... TRA#,TCS RA for telescope 1 to #,sexagesimal,String,"13:43:42.3456",,N,"Can be expanded to multiple keywords indexed 1 to #"
TDEC1 ... TDEC#,TCS DEC for telescope 1 to #,sexagesimal,String,"-13:34:12.7787",,N,"Can be expanded to multiple keywords indexed 1 to #"
TEL1 ... TEL#,TCS elevation angle for telescope 1 to #,deg,Float,43.5,,N,"Can be expanded to multiple keywords indexed 1 to #"
TZA1 ... TZA#,TCS zenith angle for telescope 1 to #,deg,Float,35.5435,,N,"Can be expanded to multiple keywords indexed 1 to #"
TAZ1 ... TAZ#,TCS azimuth angle for telescope 1 to #,deg,Float,124.3,,N,"Can be expanded to multiple keywords indexed 1 to #"
THA1 ... THA#,TCS hour angle for telescope 1 to #,sexagesimal,String,"-2:34:43.3455",,N,"Can be expanded to multiple keywords indexed 1 to #"
PARST1 ... PARST#,Parallactic angle at exposure start for telescope 1 to #,deg,Float,175.2,,N,"Can be expanded to multiple keywords indexed 1 to #"
PAREND1 ... PAREND#,Parallactic angle at exposure end for telescope 1 to #,deg,Float,180.7,,N,"Can be expanded to multiple keywords indexed 1 to #"
ROTANG,Rotator angle,deg,Float,80.3,,N,
SUNEL,Sun Elevation Angle,deg,Float,-18.5,,N,
MOONANG,Target-Moon Angle,deg,Float,34.56,,N,
MOONEL,Moon Elevation Angle,deg,Float,26.8,,N,
MOONILLU,Moon illumination,%,Float,23.4,,N,
MOONRV,RV of reflected sunlight off moon,km/s,Float,1.3,,N,
M1TMP,Primary mirror temperature,deg C,Float,10.0,,N,
M1TMPT,M1TMP timestamp,UTC,String,"2024-02-20T03:31:33",,N,
INHUM,relative humidity inside dome,%,Float,56.6,,N,
INHUMT,INHUM timestamp,UTC,String,"2024-02-20T03:31:33",,N,
OUTTMP,Outside temperature,deg C,Float,"0.0",,N,
OUTTMPT,OUTTMP timestamp,UTC,String,"2024-02-20T03:31:33",,N,
OUTHUM,Outside relative humidity,%,Float,56.6,,N,
OUTHUMT,OUTHUM timestamp,UTC,String,"2024-02-20T03:31:33",,N,
OUTPRES,Outdoor Atmospheric Pressure,kPa,Float,80.0,,N,
OUTPREST,OUTPRES timestamp,UTC,String,"2024-02-20T03:31:33",,N,
ENVWINDS,Wind speed,m/s,Float,23.4,,N,"Details are obs specific and not uniform; best effort as available from the observatory"
ENVWINDD,Wind direction,angle,Float,133.5,,N,"Details on where wind is measured (position of weather station) should be captured in documentation"
DRPTAG,RV DRP version,N/A,String,"v1.1.0",UNKNOWN,Y,
EPRVTAG,Version of EPRV standard applied,N/A,String,"v1.1.0",UNKNOWN,Y,
VOCLASS,Version of EPRV standard applied,N/A,String,"EPRVSTANDARDv1.1.0",UNKNOWN,Y,
DRPHASH,Git commit hash,N/A,String,"a1b2c3d4e5f67890abcdef1234567890abcdef12",,N,
INSTERA,Tag to track permanent changes to instrument,N/A,String,"v2.3.0",UNKNOWN,Y,
EXTRACT,Type of 1D extraction,N/A,String,"sum or flatrelative or optimal",,N,
EXSNR1 ... EXSNR#,Extracted signal-to-noise at EXSNRW1 to EXSNRW#,SNR/1-D pixel,FLOAT,245.35,,N,"Can be expanded to multiple keywords indexed 1 to #; Meant to be a set of useful SNR checks, not one for every order"
EXSNRW1 ... EXSNRW#,Wavelength at which EXTSNR1 to EXTSNR# is measured,Angstroms,FLOAT,5530,,N,"Can be expanded to multiple keywords indexed 1 to #; Meant to be a set of useful SNR checks, not one for every order"
FULLCOMP,Is this file fully compliant with the RVSTAND EPRV standard?,N/A,String,"Yes or No",UNKNOWN,Y,
TELFLAG,Issues with observatory or telescope?,N/A,String,"Pass or Fail or Warn","PASS",N,"Default to Pass. If Fail or Warn then more detail should be provided via the bitfields"
INSTFLAG,Issues with instrument?,N/A,String,"Pass or Fail or Warn","PASS",N,"Default to Pass. If Fail or Warn then more detail should be provided via the bitfieldsx"
DRPFLAG,Issues with pipeline?,N/A,String,"Pass or Fail or Warn","PASS",N,"Default to Pass. If Fail or Warn then more detail should be provided via the bitfields"
ADDFLAG,Additional team defined flag,N/A,String,"Pass or Fail or Warn",,N,"Note what this corresponds to in documentation"
OBSFLAG,Observer pass/fail for exposure,N/A,String,"Pass or Fail",,N,
SUMMFLAG,Summary roll up of other flag keywords,N/A,String,"Pass or Fail",UNKNOWN,Y,
DQLVL0,Quality check bitfield of N characters,N/A,UInt,0,UNDEFINED,Y,"see e.g. https://neid.ipac.caltech.edu/docs/NEID-DRP/bitfields.html"
DQLVL1,Quality check bitfield of N characters,N/A,UInt,0,UNDEFINED,Y,"see e.g. https://neid.ipac.caltech.edu/docs/NEID-DRP/bitfields.html"
DQLVL2,Quality check bitfield of N characters,N/A,UInt,0,UNDEFINED,Y,"Standardize first few bits then leave remaining for instrument specific checks"
